barangay,household_id,worried_food,unable_eat_healthy,few_kinds_food,skipped_meal,ate_less,ran_out_food,hungry_no_eat,one_day_no_eat
Anitap,ANI-0001,2,2,2,1,2,2,2,1
Anitap,ANI-0002,2,2,1,1,2,2,1,1
Anitap,ANI-0003,1,1,2,1,2,2,2,1
Anitap,ANI-0004,1,1,2,1,1,2,1,2
Anitap,ANI-0005,2,2,1,2,2,1,1,1
Anitap,ANI-0006,1,1,2,2,2,2,1,2
Anitap,ANI-0007,1,2,1,2,2,1,2,1
Anitap,ANI-0008,1,2,1,2,1,1,1,1
Anitap,ANI-0009,2,1,2,1,1,1,2,1
Anitap,ANI-0010,2,1,1,1,1,2,1,2
Anitap,ANI-0011,1,2,1,1,1,2,1,1
Anitap,ANI-0012,1,2,2,2,1,2,2,2
Anitap,ANI-0013,1,2,2,2,2,2,2,2
Anitap,ANI-0014,2,1,1,2,1,1,2,2
Anitap,ANI-0015,2,1,2,1,1,1,1,2
Anitap,ANI-0016,1,1,1,2,2,2,2,1
Anitap,ANI-0017,1,1,1,1,1,1,1,1
Anitap,ANI-0018,1,1,2,1,2,2,2,2
Anitap,ANI-0019,2,1,2,2,2,2,1,2
Anitap,ANI-0020,1,2,2,1,2,1,1,2
Anitap,ANI-0021,1,1,2,1,2,2,2,1
Anitap,ANI-0022,2,2,2,1,2,1,1,2
Anitap,ANI-0023,2,2,2,2,2,1,1,1
Anitap,ANI-0024,1,1,2,2,2,1,1,1
Anitap,ANI-0025,1,1,1,2,1,2,1,1
Anitap,ANI-0026,2,1,2,2,2,2,1,1
Anitap,ANI-0027,1,1,2,1,1,2,2,2
Anitap,ANI-0028,1,1,1,1,1,1,2,1
Anitap,ANI-0029,2,2,2,2,2,1,2,1
Anitap,ANI-0030,2,1,1,1,2,2,1,2
Manuel Roxas,MAN-0001,2,1,2,2,1,2,1,2
Manuel Roxas,MAN-0002,2,2,2,1,1,2,2,2
Manuel Roxas,MAN-0003,1,2,2,2,2,1,1,1
Manuel Roxas,MAN-0004,1,2,1,1,1,2,2,2
Manuel Roxas,MAN-0005,1,2,1,2,2,2,1,2
Manuel Roxas,MAN-0006,1,2,1,2,1,1,2,1
Manuel Roxas,MAN-0007,2,1,1,1,2,1,1,2
Manuel Roxas,MAN-0008,1,2,1,1,2,1,1,1
Manuel Roxas,MAN-0009,2,1,1,2,1,2,1,1
Manuel Roxas,MAN-0010,1,1,1,1,1,2,1,2
Manuel Roxas,MAN-0011,1,2,1,2,2,2,1,1
Manuel Roxas,MAN-0012,2,2,1,1,2,1,2,2
Manuel Roxas,MAN-0013,2,1,2,2,1,1,1,2
Manuel Roxas,MAN-0014,1,2,2,2,1,1,1,2
Manuel Roxas,MAN-0015,1,1,2,1,2,2,2,2
Manuel Roxas,MAN-0016,2,2,2,1,1,2,1,1
Manuel Roxas,MAN-0017,1,2,2,2,1,1,2,2
Manuel Roxas,MAN-0018,1,2,2,2,1,2,1,1
Manuel Roxas,MAN-0019,1,1,1,2,1,2,1,2
Manuel Roxas,MAN-0020,2,1,2,1,2,2,2,1
Manuel Roxas,MAN-0021,1,2,2,2,2,1,1,2
Manuel Roxas,MAN-0022,2,2,2,2,2,2,1,2
Manuel Roxas,MAN-0023,2,1,1,1,2,1,2,1
Manuel Roxas,MAN-0024,2,1,1,1,2,2,2,2
Manuel Roxas,MAN-0025,2,2,2,1,1,2,2,2
Manuel Roxas,MAN-0026,2,1,1,2,2,2,2,2
Manuel Roxas,MAN-0027,2,2,2,2,2,1,1,1
Manuel Roxas,MAN-0028,2,2,1,2,1,1,2,1
Manuel Roxas,MAN-0029,2,1,1,2,2,1,2,1
Manuel Roxas,MAN-0030,1,2,1,2,2,1,2,1
Manuel Roxas,MAN-0031,1,2,2,1,1,1,2,1
Manuel Roxas,MAN-0032,2,1,1,1,1,2,2,1
Manuel Roxas,MAN-0033,1,1,2,1,2,2,2,1
Manuel Roxas,MAN-0034,2,1,2,1,1,1,1,1
Manuel Roxas,MAN-0035,2,2,2,1,2,2,1,1
Manuel Roxas,MAN-0036,2,1,2,1,2,2,1,1
Manuel Roxas,MAN-0037,2,1,2,1,1,1,1,2
Manuel Roxas,MAN-0038,2,1,2,2,1,2,2,2
Manuel Roxas,MAN-0039,1,1,1,1,2,2,1,1
Manuel Roxas,MAN-0040,1,2,1,1,2,1,2,1
Manuel Roxas,MAN-0041,2,2,1,1,2,1,1,2
Manuel Roxas,MAN-0042,1,1,2,2,2,2,1,2
Manuel Roxas,MAN-0043,2,2,2,1,1,2,2,2
Manuel Roxas,MAN-0044,1,2,2,2,1,2,1,1
Manuel Roxas,MAN-0045,1,1,1,1,1,1,1,2
Manuel Roxas,MAN-0046,2,1,1,1,1,1,1,1
Manuel Roxas,MAN-0047,1,1,1,2,2,1,1,2
Manuel Roxas,MAN-0048,1,2,2,1,1,1,1,2
Manuel Roxas,MAN-0049,2,1,1,1,2,1,2,2
Manuel Roxas,MAN-0050,1,1,2,2,2,1,2,1
Manuel Roxas,MAN-0051,2,1,2,2,2,1,2,1
Manuel Roxas,MAN-0052,1,2,2,2,2,2,2,1
Manuel Roxas,MAN-0053,1,2,1,1,1,1,1,2
Manuel Roxas,MAN-0054,2,1,1,2,2,1,1,2
Manuel Roxas,MAN-0055,1,2,2,1,1,2,2,1
Manuel Roxas,MAN-0056,2,2,1,2,1,2,2,2
Manuel Roxas,MAN-0057,1,2,2,1,2,1,1,2
Manuel Roxas,MAN-0058,1,2,1,1,1,2,1,1
Don Aurelio Chicote,DON-0001,2,2,1,1,1,2,2,2
Don Aurelio Chicote,DON-0002,1,1,2,1,1,1,1,2
Don Aurelio Chicote,DON-0003,1,2,2,1,2,1,2,1
Don Aurelio Chicote,DON-0004,2,1,1,1,1,2,1,1
Don Aurelio Chicote,DON-0005,1,1,2,2,2,1,2,2
Don Aurelio Chicote,DON-0006,1,2,2,2,2,2,2,2
Don Aurelio Chicote,DON-0007,2,1,2,2,2,1,2,1
Don Aurelio Chicote,DON-0008,2,1,1,1,1,2,2,2
Don Aurelio Chicote,DON-0009,2,2,1,1,2,1,2,1
Don Aurelio Chicote,DON-0010,2,2,1,2,1,2,1,1
Don Aurelio Chicote,DON-0011,1,2,2,2,1,2,1,1
Don Aurelio Chicote,DON-0012,2,1,2,2,1,2,1,1
Don Aurelio Chicote,DON-0013,2,1,1,2,2,2,1,2
Don Aurelio Chicote,DON-0014,2,2,1,2,2,2,1,1
Don Aurelio Chicote,DON-0015,2,2,2,2,2,1,1,1
Don Aurelio Chicote,DON-0016,2,1,2,2,2,1,1,2
Don Aurelio Chicote,DON-0017,2,1,2,2,2,1,1,1
Don Aurelio Chicote,DON-0018,2,2,2,2,1,2,2,2
Don Aurelio Chicote,DON-0019,1,1,1,1,1,2,1,2
Don Aurelio Chicote,DON-0020,2,1,1,1,1,1,1,2
Don Aurelio Chicote,DON-0021,1,2,2,2,1,1,2,1
Don Aurelio Chicote,DON-0022,1,1,2,2,2,1,2,1
Don Aurelio Chicote,DON-0023,2,1,2,1,2,1,1,1
Don Aurelio Chicote,DON-0024,2,2,2,1,2,2,2,2
Don Aurelio Chicote,DON-0025,1,1,1,1,1,2,2,2
Don Aurelio Chicote,DON-0026,1,2,1,2,1,2,1,2
Don Aurelio Chicote,DON-0027,2,2,2,1,2,2,2,2
Don Aurelio Chicote,DON-0028,1,2,2,2,1,1,2,1
Don Aurelio Chicote,DON-0029,2,1,1,2,1,2,1,1
Don Aurelio Chicote,DON-0030,1,2,2,2,2,2,2,1
Don Aurelio Chicote,DON-0031,1,1,2,1,2,1,2,1
Don Aurelio Chicote,DON-0032,1,1,1,1,2,1,2,1
Don Aurelio Chicote,DON-0033,2,1,2,1,1,1,1,2
Don Aurelio Chicote,DON-0034,2,2,2,1,1,2,2,1
Don Aurelio Chicote,DON-0035,1,2,2,1,1,2,2,2
Don Aurelio Chicote,DON-0036,1,1,1,2,2,1,2,1
Don Aurelio Chicote,DON-0037,2,1,1,1,2,2,1,1
Don Aurelio Chicote,DON-0038,1,2,2,2,2,1,1,1
Don Aurelio Chicote,DON-0039,1,1,1,1,1,2,1,2
Don Aurelio Chicote,DON-0040,2,1,2,2,2,1,1,2
Don Aurelio Chicote,DON-0041,1,1,2,1,2,2,1,1
Don Aurelio Chicote,DON-0042,1,2,2,2,1,2,1,2
Don Aurelio Chicote,DON-0043,1,2,1,1,1,2,1,1
Don Aurelio Chicote,DON-0044,2,1,2,1,1,2,1,1
Don Aurelio Chicote,DON-0045,2,2,2,2,2,2,1,1
Don Aurelio Chicote,DON-0046,2,2,2,1,2,1,2,1
Don Aurelio Chicote,DON-0047,1,1,2,2,1,2,1,1
Don Aurelio Chicote,DON-0048,2,2,2,1,1,1,2,1
Don Aurelio Chicote,DON-0049,2,2,2,2,1,2,1,2
Don Aurelio Chicote,DON-0050,2,2,1,1,1,2,2,2
Don Aurelio Chicote,DON-0051,1,1,2,2,1,1,1,2
Don Aurelio Chicote,DON-0052,1,1,2,2,1,1,1,1
Don Aurelio Chicote,DON-0053,2,1,2,2,2,1,1,1
Don Aurelio Chicote,DON-0054,1,1,1,2,1,2,2,1
Don Aurelio Chicote,DON-0055,2,2,2,1,2,2,2,1
Don Aurelio Chicote,DON-0056,1,1,1,2,2,2,1,1
Don Aurelio Chicote,DON-0057,1,1,1,2,2,1,2,2
Don Aurelio Chicote,DON-0058,2,1,1,1,2,1,1,1
Don Aurelio Chicote,DON-0059,2,1,1,2,1,2,1,1
Don Aurelio Chicote,DON-0060,1,2,1,2,2,2,2,2
Don Aurelio Chicote,DON-0061,2,2,2,2,2,1,2,1
Lavigan,LAV-0001,2,2,2,1,1,2,2,2
Lavigan,LAV-0002,1,1,1,1,2,2,2,1
Lavigan,LAV-0003,2,2,2,2,1,2,2,1
Lavigan,LAV-0004,2,1,2,2,2,2,1,2
Lavigan,LAV-0005,1,1,1,1,1,1,1,2
Lavigan,LAV-0006,1,1,1,2,2,1,1,2
Lavigan,LAV-0007,1,2,2,2,1,2,2,1
Lavigan,LAV-0008,1,2,2,2,2,1,2,1
Lavigan,LAV-0009,1,1,2,2,1,1,2,1
Lavigan,LAV-0010,2,1,1,2,1,1,1,1
Lavigan,LAV-0011,1,1,1,1,2,1,1,2
Lavigan,LAV-0012,1,1,1,2,2,1,2,1
Lavigan,LAV-0013,2,2,2,1,1,1,2,2
Lavigan,LAV-0014,1,2,2,1,1,1,1,2
Lavigan,LAV-0015,1,2,1,2,1,1,1,2
Lavigan,LAV-0016,1,1,1,2,1,2,2,1
Lavigan,LAV-0017,1,2,1,1,1,2,1,1
Lavigan,LAV-0018,1,2,1,2,2,2,1,2
Lavigan,LAV-0019,2,2,1,2,2,1,2,1
Lavigan,LAV-0020,2,2,1,1,1,2,2,1
Lavigan,LAV-0021,1,1,2,1,2,1,1,2
Lavigan,LAV-0022,1,2,1,2,2,1,1,1
Lavigan,LAV-0023,1,1,2,1,2,2,1,2
Lavigan,LAV-0024,2,1,1,2,2,1,2,1
Lavigan,LAV-0025,1,2,2,1,2,2,2,2
Lavigan,LAV-0026,1,1,2,1,2,2,2,1
Lavigan,LAV-0027,1,2,1,2,1,1,1,1
Lavigan,LAV-0028,1,2,1,1,1,2,1,1
Lavigan,LAV-0029,1,1,2,1,2,1,1,1
Lavigan,LAV-0030,2,1,1,2,2,2,2,1
Lavigan,LAV-0031,1,2,2,2,2,1,1,1
Lavigan,LAV-0032,1,2,2,2,1,1,2,1
Lavigan,LAV-0033,1,2,2,1,2,1,1,1
Lavigan,LAV-0034,2,1,2,1,2,2,2,1
Lavigan,LAV-0035,1,1,2,1,1,2,2,1
Lavigan,LAV-0036,1,2,2,2,1,1,1,2
Lavigan,LAV-0037,1,1,2,1,1,2,1,1
Lavigan,LAV-0038,2,1,1,2,2,1,2,2
Lavigan,LAV-0039,2,1,2,1,2,1,1,1
Lavigan,LAV-0040,2,1,1,2,1,2,2,2
Lavigan,LAV-0041,2,1,1,2,2,2,2,2
Lavigan,LAV-0042,2,2,1,2,2,2,1,2
Lavigan,LAV-0043,1,1,1,1,1,1,1,2
Lavigan,LAV-0044,2,2,1,2,2,1,1,1
Lavigan,LAV-0045,2,2,1,2,2,2,1,2
Lavigan,LAV-0046,2,1,2,2,1,2,1,2
Lavigan,LAV-0047,1,1,2,2,2,2,2,1
Lavigan,LAV-0048,2,1,1,2,1,1,1,2
Lavigan,LAV-0049,1,2,2,2,1,1,1,2
Lavigan,LAV-0050,2,1,1,2,1,1,2,1
Lavigan,LAV-0051,1,1,1,1,1,2,2,1
Lavigan,LAV-0052,2,2,1,2,2,2,2,1
Lavigan,LAV-0053,1,2,2,2,1,1,2,2
Lavigan,LAV-0054,1,2,2,1,2,1,1,2
Lavigan,LAV-0055,1,2,1,2,2,1,1,1
Lavigan,LAV-0056,2,1,1,2,1,1,1,2
Lavigan,LAV-0057,2,1,2,2,1,2,2,2
Lavigan,LAV-0058,1,1,2,2,1,1,2,2
Luzon,LUZ-0001,1,1,2,1,1,1,1,2
Luzon,LUZ-0002,2,2,1,2,1,1,2,1
Luzon,LUZ-0003,1,2,2,1,2,2,1,1
Luzon,LUZ-0004,2,2,2,1,1,1,2,1
Luzon,LUZ-0005,2,2,1,1,2,2,1,2
Luzon,LUZ-0006,1,2,2,1,2,2,2,1
Luzon,LUZ-0007,2,1,1,1,1,1,1,2
Luzon,LUZ-0008,2,2,1,1,1,2,1,2
Luzon,LUZ-0009,1,1,1,1,2,2,1,1
Luzon,LUZ-0010,1,1,1,1,1,2,1,1
Luzon,LUZ-0011,2,1,2,1,1,1,2,2
Luzon,LUZ-0012,1,1,1,1,1,2,1,2
Luzon,LUZ-0013,1,2,2,2,2,1,2,2
Luzon,LUZ-0014,1,1,2,1,1,1,2,2
Luzon,LUZ-0015,1,2,1,1,2,2,2,1
Luzon,LUZ-0016,1,2,1,2,1,2,2,2
Luzon,LUZ-0017,1,2,2,1,1,1,2,2
Luzon,LUZ-0018,1,2,2,2,2,2,2,1
Luzon,LUZ-0019,1,1,2,2,2,1,1,2
Luzon,LUZ-0020,1,2,1,1,1,1,1,1
Luzon,LUZ-0021,1,1,2,2,1,1,2,2
Luzon,LUZ-0022,2,1,1,1,1,2,1,2
Luzon,LUZ-0023,1,2,1,1,2,1,1,2
Luzon,LUZ-0024,1,1,2,1,1,1,1,1
Luzon,LUZ-0025,2,1,2,2,2,2,1,2
Luzon,LUZ-0026,1,1,2,2,1,1,1,1
Luzon,LUZ-0027,2,2,2,1,2,1,1,2
Luzon,LUZ-0028,2,1,1,1,2,2,1,1
Luzon,LUZ-0029,2,2,1,2,2,1,1,1
Luzon,LUZ-0030,1,2,2,1,2,2,2,1
Luzon,LUZ-0031,1,2,1,2,2,1,1,2
Luzon,LUZ-0032,1,1,1,2,1,1,2,2
Luzon,LUZ-0033,1,2,1,1,1,1,1,2
Luzon,LUZ-0034,2,2,2,2,2,1,2,1
Luzon,LUZ-0035,1,1,2,1,1,1,2,1
Luzon,LUZ-0036,1,1,2,2,2,2,2,1
Luzon,LUZ-0037,2,1,2,1,1,2,2,1
Luzon,LUZ-0038,1,2,2,2,2,2,1,1
Luzon,LUZ-0039,2,1,2,1,1,1,1,1
Luzon,LUZ-0040,1,1,1,1,1,1,1,2
Luzon,LUZ-0041,2,2,2,1,1,2,2,2
Luzon,LUZ-0042,1,1,2,1,1,2,1,2
Luzon,LUZ-0043,1,2,2,2,2,1,2,1
Luzon,LUZ-0044,2,2,2,1,1,1,1,1
Luzon,LUZ-0045,2,1,2,2,1,1,2,1
Luzon,LUZ-0046,2,2,1,1,1,1,1,1
Luzon,LUZ-0047,2,2,1,2,1,2,1,2
Luzon,LUZ-0048,2,1,2,1,2,1,2,1
Luzon,LUZ-0049,2,1,2,2,2,1,2,2
Luzon,LUZ-0050,2,1,1,2,2,2,2,1
Luzon,LUZ-0051,2,2,2,1,2,1,1,1
Luzon,LUZ-0052,2,2,2,1,1,1,2,1
Luzon,LUZ-0053,2,2,2,2,1,1,2,2
Luzon,LUZ-0054,2,1,1,1,2,2,2,1
Luzon,LUZ-0055,2,2,2,1,2,1,2,1
Luzon,LUZ-0056,1,2,1,1,1,2,1,1
Luzon,LUZ-0057,1,2,1,1,2,1,2,2
Luzon,LUZ-0058,2,2,2,2,1,2,2,1
Luzon,LUZ-0059,1,2,2,1,1,2,2,2
Luzon,LUZ-0060,1,2,2,1,1,1,1,2
Luzon,LUZ-0061,1,2,1,1,2,2,1,2
Luzon,LUZ-0062,2,1,1,2,2,1,2,1
Luzon,LUZ-0063,1,2,2,1,2,2,2,2
Luzon,LUZ-0064,1,2,2,2,1,2,1,1
Luzon,LUZ-0065,1,2,2,2,1,1,2,2
Luzon,LUZ-0066,2,1,1,1,1,2,1,2
Magdug,MAG-0001,1,1,2,2,1,1,2,2
Magdug,MAG-0002,1,2,2,1,1,1,1,2
Magdug,MAG-0003,2,2,2,2,1,2,2,1
Magdug,MAG-0004,2,1,1,1,2,2,1,2
Magdug,MAG-0005,1,1,1,2,1,2,1,1
Magdug,MAG-0006,1,1,2,1,2,2,1,2
Magdug,MAG-0007,2,2,2,2,2,2,1,2
Magdug,MAG-0008,2,1,1,1,1,1,1,2
Magdug,MAG-0009,1,1,1,2,1,2,1,2
Magdug,MAG-0010,1,1,1,2,2,2,1,1
Magdug,MAG-0011,2,2,1,1,1,2,1,2
Magdug,MAG-0012,1,2,2,2,1,2,2,2
Magdug,MAG-0013,1,2,2,1,2,1,1,2
Magdug,MAG-0014,2,2,2,2,2,2,2,1
Magdug,MAG-0015,2,1,1,2,1,1,1,1
Magdug,MAG-0016,1,1,1,1,1,1,1,2
Magdug,MAG-0017,2,2,1,2,2,1,1,2
Magdug,MAG-0018,2,2,2,1,1,1,2,2
Magdug,MAG-0019,2,2,1,2,1,1,2,1
Magdug,MAG-0020,2,1,2,1,2,2,2,1
Magdug,MAG-0021,1,2,2,2,1,1,1,2
Magdug,MAG-0022,1,1,2,1,2,2,2,2
Magdug,MAG-0023,1,1,1,1,2,2,1,1
Magdug,MAG-0024,2,2,1,1,2,2,2,1
Magdug,MAG-0025,2,2,2,2,1,1,2,2
Magdug,MAG-0026,1,2,2,1,2,1,2,1
Magdug,MAG-0027,1,1,2,2,1,2,2,1
Magdug,MAG-0028,2,1,1,2,1,1,2,1
Magdug,MAG-0029,2,1,1,2,1,2,1,2
Magdug,MAG-0030,2,1,2,2,1,2,2,1
Magdug,MAG-0031,1,2,2,1,1,2,2,1
Magdug,MAG-0032,1,1,1,1,1,2,2,2
Magdug,MAG-0033,1,2,1,1,1,1,2,1
Magdug,MAG-0034,2,1,1,1,1,2,2,2
Magdug,MAG-0035,1,2,1,1,1,1,2,1
Magdug,MAG-0036,2,2,1,1,2,1,1,1
Magdug,MAG-0037,2,2,2,1,1,1,2,2
Magdug,MAG-0038,1,2,1,1,2,1,1,1
Magdug,MAG-0039,2,2,2,2,1,2,2,2
Magdug,MAG-0040,2,2,1,1,2,1,1,2
Magdug,MAG-0041,1,1,1,1,1,1,2,2
Magdug,MAG-0042,2,2,2,1,1,1,1,2
Magdug,MAG-0043,2,2,2,2,1,1,2,1
Magdug,MAG-0044,1,1,1,2,1,1,2,1
Magdug,MAG-0045,2,1,1,2,1,1,2,2
Magdug,MAG-0046,2,1,2,1,1,1,2,1
Magdug,MAG-0047,1,1,1,1,2,1,2,1
Magdug,MAG-0048,2,2,1,1,1,1,2,2
Magdug,MAG-0049,1,2,2,1,1,1,2,2
Magdug,MAG-0050,1,1,1,1,2,2,1,1
Magdug,MAG-0051,2,2,1,1,2,1,1,1
Magdug,MAG-0052,2,2,2,2,2,1,2,1
Monserrat,MON-0001,2,1,2,2,1,1,1,1
Monserrat,MON-0002,2,2,2,2,2,2,1,2
Monserrat,MON-0003,2,1,1,2,2,1,2,2
Monserrat,MON-0004,2,1,1,1,1,1,1,2
Monserrat,MON-0005,2,1,1,2,2,2,2,1
Monserrat,MON-0006,2,2,1,2,1,1,1,2
Monserrat,MON-0007,2,1,2,2,2,1,1,1
Monserrat,MON-0008,1,2,1,1,2,1,1,2
Monserrat,MON-0009,1,1,1,1,2,2,1,2
Monserrat,MON-0010,1,1,2,1,1,2,2,2
Monserrat,MON-0011,1,1,2,1,2,1,1,1
Monserrat,MON-0012,1,2,1,2,1,1,2,1
Monserrat,MON-0013,2,1,2,1,1,1,2,2
Monserrat,MON-0014,1,2,2,1,2,2,1,2
Monserrat,MON-0015,2,2,2,1,1,2,2,1
Monserrat,MON-0016,1,1,1,2,2,2,1,2
Monserrat,MON-0017,2,2,1,1,2,2,2,1
Monserrat,MON-0018,1,2,2,2,2,1,2,2
Monserrat,MON-0019,2,2,2,1,2,2,1,2
Monserrat,MON-0020,2,2,2,1,1,2,1,1
Monserrat,MON-0021,1,2,2,2,1,2,1,2
Monserrat,MON-0022,2,2,2,1,1,1,2,2
Monserrat,MON-0023,2,2,1,1,2,2,2,2
Monserrat,MON-0024,1,2,2,1,2,1,1,1
Monserrat,MON-0025,2,2,2,1,2,1,2,1
Monserrat,MON-0026,1,1,2,2,1,2,2,2
Monserrat,MON-0027,2,1,2,1,2,1,2,1
Monserrat,MON-0028,2,2,1,2,1,2,1,2
Monserrat,MON-0029,1,1,2,1,2,2,1,2
Monserrat,MON-0030,2,2,2,2,1,2,1,1
Monserrat,MON-0031,1,2,2,2,1,1,2,2
Monserrat,MON-0032,2,1,2,1,2,2,2,1
Monserrat,MON-0033,1,1,1,1,2,1,2,1
Monserrat,MON-0034,2,1,2,1,1,2,1,2
Monserrat,MON-0035,2,2,1,1,1,1,1,2
Monserrat,MON-0036,1,1,1,1,2,1,2,2
Monserrat,MON-0037,1,1,2,1,2,2,2,1
Monserrat,MON-0038,2,2,2,2,2,2,2,1
Monserrat,MON-0039,2,1,1,1,2,2,1,1
Monserrat,MON-0040,1,2,1,2,2,1,2,2
Monserrat,MON-0041,1,2,1,1,1,1,2,2
Monserrat,MON-0042,1,1,2,2,1,2,2,1
Monserrat,MON-0043,2,1,1,2,2,1,2,2
Nangan,NAN-0001,2,2,2,2,2,2,1,2
Nangan,NAN-0002,1,2,2,2,1,1,2,1
Nangan,NAN-0003,2,2,2,1,2,1,2,1
Nangan,NAN-0004,2,1,2,2,1,1,1,2
Nangan,NAN-0005,1,1,2,1,1,1,1,1
Nangan,NAN-0006,2,2,2,1,1,1,2,1
Nangan,NAN-0007,1,2,1,1,1,1,2,1
Nangan,NAN-0008,2,2,2,2,1,2,1,2
Nangan,NAN-0009,2,1,2,2,2,2,1,1
Nangan,NAN-0010,2,1,2,1,2,2,1,2
Nangan,NAN-0011,1,1,1,2,2,1,1,2
Nangan,NAN-0012,2,2,2,1,1,1,2,1
Nangan,NAN-0013,1,2,2,2,2,1,2,1
Nangan,NAN-0014,2,1,1,1,2,1,1,1
Nangan,NAN-0015,2,1,2,1,1,1,2,2
Nangan,NAN-0016,2,1,2,1,1,1,2,2
Nangan,NAN-0017,1,2,2,2,2,2,2,1
Nangan,NAN-0018,2,1,2,1,2,2,1,1
Nangan,NAN-0019,1,1,1,2,2,2,1,2
Nangan,NAN-0020,2,1,2,2,1,2,2,2
Nangan,NAN-0021,1,2,1,1,1,2,2,1
Nangan,NAN-0022,1,1,1,1,1,2,1,1
Nangan,NAN-0023,1,1,2,2,1,2,1,2
Nangan,NAN-0024,1,2,2,1,2,1,2,2
Nangan,NAN-0025,2,2,2,2,2,1,2,2
Nangan,NAN-0026,2,1,2,2,1,2,1,1
Nangan,NAN-0027,1,1,2,2,1,1,2,2
Nangan,NAN-0028,1,2,1,2,1,1,2,1
Nangan,NAN-0029,2,2,2,1,2,1,1,2
Nangan,NAN-0030,2,2,2,1,1,1,2,2
Nangan,NAN-0031,1,1,1,2,2,1,2,1
Nangan,NAN-0032,2,1,1,2,1,2,2,1
Nangan,NAN-0033,1,1,1,1,1,1,2,1
Nangan,NAN-0034,2,2,2,1,1,1,2,1
Nangan,NAN-0035,1,2,2,2,2,2,2,2
Nangan,NAN-0036,1,2,1,2,1,2,2,2
Nangan,NAN-0037,1,2,2,2,2,2,2,2
Nangan,NAN-0038,2,1,2,2,1,1,1,1
Nangan,NAN-0039,2,2,2,2,1,1,2,1
Nangan,NAN-0040,1,1,1,1,2,2,1,2
Nangan,NAN-0041,2,1,1,1,2,1,1,1
Nangan,NAN-0042,2,2,1,2,2,2,2,1
Nangan,NAN-0043,2,2,1,2,2,2,2,2
Nangan,NAN-0044,1,2,2,1,2,2,2,2
Nangan,NAN-0045,2,2,1,2,1,1,1,1
Nangan,NAN-0046,1,1,1,1,2,1,2,2
Nangan,NAN-0047,1,1,1,1,2,1,1,2
Nangan,NAN-0048,1,2,1,2,1,2,2,1
Nangan,NAN-0049,1,1,2,2,1,2,2,1
Nangan,NAN-0050,1,2,2,1,1,2,2,1
Nangan,NAN-0051,1,1,2,2,1,2,2,1
Nangan,NAN-0052,2,1,1,2,1,1,2,2
Nangan,NAN-0053,2,2,2,1,1,1,1,1
Nangan,NAN-0054,1,1,1,1,1,1,1,1
Nangan,NAN-0055,2,2,2,1,2,1,2,2
Nangan,NAN-0056,1,1,2,2,1,1,1,1
Nangan,NAN-0057,1,1,2,1,1,1,1,1
Nangan,NAN-0058,1,2,2,1,1,2,1,2
Nangan,NAN-0059,1,1,2,1,1,1,2,2
Nangan,NAN-0060,2,1,2,2,1,1,1,2
Nangan,NAN-0061,1,1,2,1,2,1,1,1
Nangan,NAN-0062,1,1,1,1,2,2,1,1
Nangan,NAN-0063,1,2,1,1,1,1,1,2
